"id","user_id","movie_id","tags","created_at"
"1","1","318","narrated","2015-03-10 01:00:00"
"14","49","2642","comic book","2006-06-04 21:23:20"
"15","49","2643","comic book","2006-06-04 21:23:20"
"16","49","3440","comic book","2006-06-04 21:23:20"
"20","50","750","satire","2016-05-01 06:46:40"
"22","63","393","video game adaptation","2007-12-25 03:10:00"
"23","79","909","suicide attempt","2017-02-09 22:43:20"
"24","79","1057","comedy","2017-01-05 02:43:20"
"25","79","1057","sweet","2017-01-05 02:43:20"
"26","79","1057","Woody Allen","2017-01-05 02:43:20"
"27","79","1060","90s","2017-01-06 01:30:00"
"28","79","1060","funny","2017-01-06 01:30:00"
"29","79","1060","great dialogue","2017-01-06 01:30:00"
"30","79","1060","swing dance","2017-01-06 01:30:00"
"31","79","1060","vegas","2017-01-06 01:30:00"
"32","79","1073","chocolate","2017-01-06 03:43:20"
"33","79","1073","colourful","2017-01-06 03:43:20"
"34","79","1073","cult film","2017-01-06 03:43:20"
"35","79","1073","England","2017-01-06 03:43:20"
"36","79","1073","imagination","2017-01-06 03:43:20"
"37","79","1073","quirky","2017-01-06 03:43:20"
"38","79","1073","surreal","2017-01-06 03:43:20"
"39","79","1073","Whimsical","2017-01-06 03:43:20"
"40","79","1073","witty","2017-01-06 03:43:20"
"41","79","1247","quirky","2017-02-09 22:43:20"
"42","79","1247","seduction","2017-02-09 22:43:20"
"43","79","1265","comedy","2017-01-05 03:00:00"
"44","79","1265","feel-good","2017-01-05 03:00:00"
"45","79","1265","funny","2017-01-05 03:00:00"
"46","79","1265","hilarious","2017-01-05 03:00:00"
"47","79","1265","original plot","2017-01-05 03:00:00"
"48","79","1265","surreal","2017-01-05 03:00:00"
"49","79","1265","time loop","2017-01-05 03:00:00"
"50","79","1265","witty","2017-01-05 03:00:00"
"51","79","1784","comedy","2017-01-05 02:43:20"
"52","79","1784","excellent script","2017-01-05 02:43:20"
"53","79","1784","feel-good","2017-01-05 02:43:20"
"54","79","1784","funny","2017-01-05 02:43:20"
"55","79","1784","great intelligent comedy","2017-01-05 02:43:20"
"56","79","1784","grumpy man","2017-01-05 02:43:20"
"57","79","1784","neurosis","2017-01-05 02:43:20"
"58","79","1784","quirky","2017-01-05 02:43:20"
"59","79","1784","sappy","2017-01-05 02:43:20"
"60","79","1784","writing","2017-01-05 02:43:20"
"61","79","1968","1980's cult","2017-01-05 03:00:00"
"62","79","2065","bittersweet","2017-01-05 03:00:00"
"63","79","2065","charming","2017-01-05 03:00:00"
"64","79","2065","fanciful","2017-01-05 03:00:00"
"65","79","2065","fantasy","2017-01-05 03:00:00"
"66","79","2065","fun premise","2017-01-05 03:00:00"
"67","79","2065","nostalgic","2017-01-05 03:00:00"
"68","79","2065","romance","2017-01-05 03:00:00"
"69","79","2065","warm","2017-01-05 03:00:00"
"70","79","2065","Woody Allen","2017-01-05 03:00:00"
"71","79","2100","mermaid","2017-02-09 22:43:20"
"72","79","2145","record store","2017-01-05 02:43:20"
"73","79","2145","romantic comedy","2017-01-05 02:43:20"
"74","79","2424","bookshop","2017-01-05 03:00:00"
"75","79","2424","chatting","2017-01-05 03:00:00"
"76","79","2424","chick flick","2017-01-05 03:00:00"
